SampleName,Set,Experiment,Treatment,SampleType,Species,Organism,Time
VIII_I7,MSCA,2,VIII,I,SWnight,SW,Day
VIII_B4,MSCA,2,VIII,B,SWnight,SW,Day
VIII_B3,MSCA,2,VIII,B,SWnight,SW,Day
VIII_B2,MSCA,2,VIII,B,SWnight,SW,Day
VIII_B1,MSCA,2,VIII,B,SWnight,SW,Day
VII_I6,MSCA,2,VII,I,TurfDay,Turf,Night
VII_B4,MSCA,2,VII,B,TurfDay,Turf,Night
VII_B3,MSCA,2,VII,B,TurfDay,Turf,Night
VII_B2,MSCA,2,VII,B,TurfDay,Turf,Night
VII_B1,MSCA,2,VII,B,TurfDay,Turf,Night
VI_I5,MSCA,2,VI,I,SWday,SW,Day
VI_B4,MSCA,2,VI,B,SWday,SW,Day
VI_B3,MSCA,2,VI,B,SWday,SW,Day
VI_B2,MSCA,2,VI,B,SWday,SW,Day
VI_B1,MSCA,2,VI,B,SWday,SW,Day
V_I4,MSCA,1,V,I,Acropora,Coral,Day
V_B4,MSCA,1,V,B,Acropora,Coral,Day
V_B3,MSCA,1,V,B,Acropora,Coral,Day
V_B2,MSCA,1,V,B,Acropora,Coral,Day
V_B1,MSCA,1,V,B,Acropora,Coral,Day
PCR_POS_5,PCR,,,,,,
PCR_POS_4,PCR,,,,,,
PCR_POS_3,PCR,,,,,,
PCR_POS_2,PCR,,,,,,
PCR_POS_1,PCR,,,,,,
IX_I8,MSCA,2,IX,I,TurfNight,Turf,Night
IX_B4,MSCA,2,IX,B,TurfNight,Turf,Night
IX_B3,MSCA,2,IX,B,TurfNight,Turf,Night
IX_B2,MSCA,2,IX,B,TurfNight,Turf,Night
IX_B1,MSCA,2,IX,B,TurfNight,Turf,Night
IV_I3,MSCA,1,IV,I,Lobophora,Algae,Day
IV_B4,MSCA,1,IV,B,Lobophora,Algae,Day
IV_B3,MSCA,1,IV,B,Lobophora,Algae,Day
IV_B2,MSCA,1,IV,B,Lobophora,Algae,Day
IV_B1,MSCA,1,IV,B,Lobophora,Algae,Day
III_I2,MSCA,1,III,I,Diploria,Coral,Day
III_B4,MSCA,1,III,B,Diploria,Coral,Day
III_B3,MSCA,1,III,B,Diploria,Coral,Day
III_B2,MSCA,1,III,B,Diploria,Coral,Day
III_B1,MSCA,1,III,B,Diploria,Coral,Day
II_I1,MSCA,1,II,I,Dictyota,Algae,Day
II_B4,MSCA,1,II,B,Dictyota,Algae,Day
II_B3,MSCA,1,II,B,Dictyota,Algae,Day
II_B2,MSCA,1,II,B,Dictyota,Algae,Day
II_B1,MSCA,1,II,B,Dictyota,Algae,Day
I_B4,MSCA,1,I,B,SW,SW,Day
I_B3,MSCA,1,I,B,SW,SW,Day
I_B2,MSCA,1,I,B,SW,SW,Day
I_B1,MSCA,1,I,B,SW,SW,Day
Blank_3,Blank,,,,,,
Blank_2,Blank,,,,,,
97_FK_002,other,,,,,,
96_FK_153,other,,,,,,
95_FK_152,other,,,,,,
94_FK_151,other,,,,,,
93_FK_150,other,,,,,,
92_FK_149,other,,,,,,
91_FK_148,other,,,,,,
90_FK_147,other,,,,,,
9_HALO_1B,other,,,,,,
9_G2_G11,other,,,,,,
89_FK_146,other,,,,,,
88_FK_145,other,,,,,,
87_FK_144,other,,,,,,
86_FK_143,other,,,,,,
85_FK_142,other,,,,,,
84_FK_141,other,,,,,,
