Tree#,Groups,WScore
1,10_G2_HG-10_HALO_2B,0.928215
1,10_G2_HG-11_HALO_3B,0.933228
1,10_HALO_2B-11_HALO_3B,0.059005
1,10_G2_HG-12_HALO_4B,0.932524
1,10_HALO_2B-12_HALO_4B,0.065915
1,11_HALO_3B-12_HALO_4B,0.055829
1,10_G2_HG-12_W_plus_3_G1,0.837031
1,10_HALO_2B-12_W_plus_3_G1,0.956254
1,11_HALO_3B-12_W_plus_3_G1,0.957219
1,12_HALO_4B-12_W_plus_3_G1,0.956959
1,10_G2_HG-13_HALO_5B,0.932517
1,10_HALO_2B-13_HALO_5B,0.077578
1,11_HALO_3B-13_HALO_5B,0.062549
1,12_HALO_4B-13_HALO_5B,0.05514
1,12_W_plus_3_G1-13_HALO_5B,0.954971
1,10_G2_HG-13_W_plus_3_G11,0.811144
1,10_HALO_2B-13_W_plus_3_G11,0.957364
1,11_HALO_3B-13_W_plus_3_G11,0.956393
1,12_HALO_4B-13_W_plus_3_G11,0.955249
1,12_W_plus_3_G1-13_W_plus_3_G11,0.682732
1,13_HALO_5B-13_W_plus_3_G11,0.953338
1,10_G2_HG-14_HALO_6B,0.932519
1,10_HALO_2B-14_HALO_6B,0.097938
1,11_HALO_3B-14_HALO_6B,0.081803
1,12_HALO_4B-14_HALO_6B,0.075871
1,12_W_plus_3_G1-14_HALO_6B,0.956711
1,13_HALO_5B-14_HALO_6B,0.071951
1,13_W_plus_3_G11-14_HALO_6B,0.95266
1,10_G2_HG-14_W_plus_3_H6,0.650304
1,10_HALO_2B-14_W_plus_3_H6,0.93563
1,11_HALO_3B-14_W_plus_3_H6,0.936992
1,12_HALO_4B-14_W_plus_3_H6,0.937204
1,12_W_plus_3_G1-14_W_plus_3_H6,0.835005
1,13_HALO_5B-14_W_plus_3_H6,0.935618
1,13_W_plus_3_G11-14_W_plus_3_H6,0.760484
1,14_HALO_6B-14_W_plus_3_H6,0.93758
1,10_G2_HG-15_HALO_7B,0.925803
1,10_HALO_2B-15_HALO_7B,0.06808
1,11_HALO_3B-15_HALO_7B,0.066696
1,12_HALO_4B-15_HALO_7B,0.088791
1,12_W_plus_3_G1-15_HALO_7B,0.957937
1,13_HALO_5B-15_HALO_7B,0.086087
1,13_W_plus_3_G11-15_HALO_7B,0.958236
1,14_HALO_6B-15_HALO_7B,0.106249
1,14_W_plus_3_H6-15_HALO_7B,0.937198
1,10_G2_HG-16_HALO_8B,0.93933
1,10_HALO_2B-16_HALO_8B,0.098223
1,11_HALO_3B-16_HALO_8B,0.076505
1,12_HALO_4B-16_HALO_8B,0.070522
1,12_W_plus_3_G1-16_HALO_8B,0.956296
1,13_HALO_5B-16_HALO_8B,0.079965
1,13_W_plus_3_G11-16_HALO_8B,0.952227
1,14_HALO_6B-16_HALO_8B,0.088949
1,14_W_plus_3_H6-16_HALO_8B,0.939771
1,15_HALO_7B-16_HALO_8B,0.115505
1,10_G2_HG-17_HALO_1C,0.932378
1,10_HALO_2B-17_HALO_1C,0.082488
1,11_HALO_3B-17_HALO_1C,0.069971
1,12_HALO_4B-17_HALO_1C,0.073535
1,12_W_plus_3_G1-17_HALO_1C,0.955101
1,13_HALO_5B-17_HALO_1C,0.068208
1,13_W_plus_3_G11-17_HALO_1C,0.953641
1,14_HALO_6B-17_HALO_1C,0.06425
1,14_W_plus_3_H6-17_HALO_1C,0.936941
1,15_HALO_7B-17_HALO_1C,0.087745
1,16_HALO_8B-17_HALO_1C,0.086457
1,10_G2_HG-17_S6_g11,0.797109
1,10_HALO_2B-17_S6_g11,0.965083
1,11_HALO_3B-17_S6_g11,0.964794
1,12_HALO_4B-17_S6_g11,0.964931
1,12_W_plus_3_G1-17_S6_g11,0.712965
1,13_HALO_5B-17_S6_g11,0.963986
1,13_W_plus_3_G11-17_S6_g11,0.266715
1,14_HALO_6B-17_S6_g11,0.963195
1,14_W_plus_3_H6-17_S6_g11,0.73051
1,15_HALO_7B-17_S6_g11,0.965754
1,16_HALO_8B-17_S6_g11,0.96262
1,17_HALO_1C-17_S6_g11,0.963334
1,10_G2_HG-18_11_20_1_1,0.919102
1,10_HALO_2B-18_11_20_1_1,0.804774
1,11_HALO_3B-18_11_20_1_1,0.800543
1,12_HALO_4B-18_11_20_1_1,0.801166
1,12_W_plus_3_G1-18_11_20_1_1,0.929814
1,13_HALO_5B-18_11_20_1_1,0.794396
1,13_W_plus_3_G11-18_11_20_1_1,0.895612
1,14_HALO_6B-18_11_20_1_1,0.784841
1,14_W_plus_3_H6-18_11_20_1_1,0.930733
1,15_HALO_7B-18_11_20_1_1,0.804734
1,16_HALO_8B-18_11_20_1_1,0.796086
1,17_HALO_1C-18_11_20_1_1,0.787562
1,17_S6_g11-18_11_20_1_1,0.913174
1,10_G2_HG-18_11_20_1_2,0.919508
